brand,vineyard,year,value,average_rating,price
Rapaura Springs,Rohe Dillons Point Sauvignon Blanc,2023,Great Value,4.3,21.82
Villadoria,Moscato d'Asti,2023,Amazing Value!,4.3,20.85
Quinta do Crasto,Crasto Superior Syrah,2022,Great Value,4.3,26.78
Rapaura Springs,Bull Paddock Sauvignon Blanc,2023,Great Value,4.3,21.82
Mas de Lavail,Initiale Maury Sec,2020,Amazing Value!,4.3,19.98
Aubert et Mathieu,Milo Minervois La Livinière,2021,Amazing Value!,4.3,22.06
Domaine Saint Hilaire,Le Baron Chardonnay,2023,Amazing Value!,4.3,20.5
Paul Cluver,Riesling Noble Late Harvest,2021,No Score,4.3,21.95
Lyrarakis,Liastos,2022,No Score,4.3,17.45
Barossa Valley Wine Company,Farms Shiraz,2020,Great Value,4.3,23.5
Dominio Basconcillos,Viña Magna Crianza,2022,Great Value,4.3,21.5
Jesus Madrazo,Num. IV,2020,Great Value,4.3,29.0
Vigneron Firmin Dezat,Sancerre Rosé,2022,Great Value,4.3,22.5
Dominio Basconcillos,Viña Magna Crianza,2021,Great Value,4.3,21.5
Caballo Loco,Grand Cru Sagrada Familia,2020,Good Value,4.3,29.99
Caballo Loco,Grand Cru Limarí,2020,Good Value,4.3,27.49
Croft,Quinta da Roeda Vintage Port,2004,Amazing Value!,4.3,28.95
Cà dei Maghi,Blend N°3,2018,Great Value,4.3,25.95
Fairview,La Beryl Blanc,2023,No Score,4.3,25.75
Revancha,La Gran Blend,2015,Good Value,4.3,29.99
La Rifra,Il Nito,2021,Great Value,4.2,25.33
San Salvatore,Vetere Limited Edition,2021,Great Value,4.2,28.5
Cantina della Volta,D. D. R.,2015,Amazing Value!,4.2,29.33
Niklas,Stoanodler Klaser Riserva,2020,Great Value,4.2,26.5
La Tunella,Col Matìss Sauvignon,2022,Great Value,4.2,27.17
Adamo,Zibibbo,2023,Great Value,4.2,14.5
Soraighe,La Mora della Valtramigna Valpolicella Ripasso Superiore,2020,Great Value,4.2,19.0
Giulio Cocchi,Dopo Teatro Cocchi Vermouth Amaro,Unknown Year,No Score,4.2,28.67
Gianni Doglia,Genio Superiore Barbera d'Asti,2021,Great Value,4.2,23.0
Elena Walch,Concerto Grosso Gewürztraminer,2023,Good Value,4.2,26.4
Fertuna,Etrusco Nero Vermouth,Unknown Year,No Score,4.2,28.67
Soraighe,Valpolicella Ripasso Superiore,2021,Great Value,4.2,17.0
Bera Vittorio e Figli,Sarvanét,2019,Great Value,4.2,23.83
Varvaglione,Paralupi Appassimento,2022,Great Value,4.2,17.5
C.H.Berres,Erdener Treppchen Riesling Auslese,2018,Great Value,4.2,27.33
De Grendel,Op die Berg Chardonnay,2023,Great Value,4.2,29.0
San Salvatore,Vetere Rosato,2023,Amazing Value!,4.2,25.33
Terlan (Terlano),Sauvignon Winkl,2023,Great Value,4.2,26.17
G. Milazzo,Terre della Baronia Rosso,2019,Good Value,4.2,28.83
Pratello,Nero per Sempre,2019,Great Value,4.2,26.33
Villa Matta,Amarone della Valpolicella,2021,Great Value,4.2,23.0
Taschlerhof,Kerner,2022,Great Value,4.2,28.18
Azienda Agricola Fabio Perrone,Moscato d'Asti,2023,Amazing Value!,4.2,17.0
Vigneti Repetto,Macerato Poliedro,2020,Great Value,4.2,24.0
Tenuta Scuotto,Oi nì,2021,Great Value,4.2,28.0
La Plantze,Torrette Superieur,2023,Good Value,4.2,29.83
Pietro Caciorgna,Alberaia Rosso di Toscana,2021,Great Value,4.2,25.33
Vietti,Moscato d'Asti,2023,Good Value,4.2,18.7
Cantine Benvenuto,Zibibbo,2023,Good Value,4.2,26.49
Merotto,Castè Millesimato Valdobbiadene Prosecco Superiore Extra Dry,2021,Great Value,4.2,26.5
Ferruccio Carlotto,Lagrein,2021,Great Value,4.2,25.33
Soligo,Solicum Rive di Soligo Millesimato Valdobbiadene Prosecco Superiore Extra Brut,2021,Amazing Value!,4.2,21.0
Progetto Vino,Ruota Libera Appassimento,2022,Good Value,4.2,21.67
Borgo Maragliano,Marajan Chardonnay,2019,Great Value,4.2,22.36
Il Falchetto,Bricco Paradiso Barbera d'Asti Superiore,2021,Great Value,4.2,24.67
Passo delle Tortore,Bacio delle Tortore Fiano di Avellino,2023,Great Value,4.2,21.33
Castello del Poggio,Moscato d'Asti,2023,Amazing Value!,4.2,17.0
Luca Attanasio,Dodecapolis Primitivo,2019,Good Value,4.2,28.0
Miali,Mater Primitivo,2015,Good Value,4.2,25.7
Guasti Clemente,Santa Teresa Moscato d'Asti,2023,Amazing Value!,4.2,17.0
Vigna Madre,Nobu 1830 Giannicola Di Carlo Montepulciano d'Abruzzo Riserva,2019,Good Value,4.2,18.83
Olivini,Notte a San Martino,2019,Great Value,4.2,26.33
Stella Giuseppe,Il Maestro Barbera d'Asti Superiore,2021,Great Value,4.2,27.17
Cerreto Piano,Florilegio Maremma Toscana Rosso,2021,Great Value,4.2,20.0
Gianni Doglia,Nizza Viti Vecchie,2020,Great Value,4.2,28.33
Bulgarini,Bruno Rosso,2020,Great Value,4.2,21.55
di Lenardo,Thanks Bianco,2023,Great Value,4.2,28.83
Tercic,Chardonnay,2016,Great Value,4.2,28.17
Tiefenbrunner,Turmhof Gewürztraminer,2022,Great Value,4.2,26.83
Pierpaolo Pecorari,Sauvignon Blanc,2022,Great Value,4.2,22.33
Mottura,Stilio Primitivo di Manduria,2022,Good Value,4.2,19.0
Le Terre Diverse,Bacio a Scannisi Greco di Tufo,2022,Great Value,4.2,28.17
Torrevento,Primitivo (Since 1913),2019,Better Value Elsewhere,4.2,25.5
Cesari,Jèma Corvina,2016,Great Value,4.2,28.17
La Tunella,Colbajè Pinot Grigio Ramato,2022,Great Value,4.2,26.88
Cipriani,Bellini Cipriani,Unknown Year,Amazing Value!,4.2,19.67
Terrecarsiche 1939,Fanova Primitivo,2021,Good Value,4.2,17.0
Cà dei Frati,Brolettino Lugana,2022,Great Value,4.2,24.33
Marion,Valpolicella Superiore,2020,Good Value,4.2,28.33
I Capitani,Emé,2020,Good Value,4.2,23.83
I Capitani,Faius,2021,Great Value,4.2,22.0
Colterenzio (Schreckbichl),Pfefferer Pink,2023,Amazing Value!,4.2,17.0
Guerrieri,Guerriero Nero,2022,Amazing Value!,4.2,17.67
S. Cristina,Lugana,2023,Great Value,4.2,19.5
Elena Walch,Vigna 'Castel Ringberg' Sauvignon,2022,Great Value,4.2,28.17
Olivini,Notte a San Martino,2019,Great Value,4.2,26.33
Colterenzio (Schreckbichl),Pfefferer,2023,Amazing Value!,4.2,17.0
Calliari Maria Rita,Solaris Venticinque Dieci,2023,Great Value,4.2,24.0
Cascina Gilli,Dedica Barbera d'Asti Superiore,2020,Great Value,4.2,22.0
Terrabianca,Vignot Moscato d'Asti,2023,Amazing Value!,4.2,17.0
Gatto Pierfrancesco,Caresana Ruché di Castagnole Monferrato,2023,Great Value,4.2,22.33
Barsento,Malicchia Mapicchia Primitivo Dolce,2021,Good Value,4.2,27.33
Roeno,Piwi Repanda Solaris,2023,Great Value,4.2,25.33
La Rifra,Il Foyer,2023,Amazing Value!,4.2,17.0
Cantina Diomede,Canace Nero di Troia,2022,Great Value,4.2,20.0
Ottella,CampoSireso,2019,Great Value,4.2,27.17
Cantina Diomede,Toppicello Nero di Troia,2018,Great Value,4.2,28.0
Himmelreich,Riesling Geieregg,2021,Great Value,4.2,27.83
Casa Martelletti,Vermouth Classico,Unknown Year,No Score,4.2,17.0
Azienda Santa Barbara - Stefano Antonucci,Il Maschio da Monte Rosso,2021,Great Value,4.2,26.18
Pacherhof,Kerner,2023,Great Value,4.2,30.0
Masso Antico,Negroamaro da Uve Leggermente Appassite,2022,Great Value,4.2,17.0
Progetto Vino,Ruota Libera Rosso,2022,Great Value,4.2,18.83
De Grendel,Shiraz,2020,Great Value,4.2,23.67
Andrian,Movado Gewürztraminer,2023,Great Value,4.2,21.33
Caruso & Minini,Cutaja Nero d'Avola,2018,Great Value,4.2,20.33
Le Chiantigiane,Loggia del Sole Governo All'Uso Toscana,2022,Amazing Value!,4.2,14.5
Franz Haas,Gewürztraminer,2023,Good Value,4.2,24.67
Ferruccio Sgubin,Petruss Sauvignon,2020,Great Value,4.2,27.67
Pierpaolo Pecorari,Sauvignon Blanc,2023,Great Value,4.2,22.33
I Vignaioli di S. Stefano,Moscato d'Asti,2023,Good Value,4.2,19.5
Unmaredivino,Nerosmeraldo Cannonau di Sardegna,2019,Good Value,4.2,29.57
Col Vetoraz,Valdobbiadene Millesimato,2023,Amazing Value!,4.2,20.33
J. Hofstätter,Joseph Gewürztraminer,2023,Great Value,4.2,21.33
Passo delle Tortore,Piano del Cardo Falanghina,2023,Great Value,4.2,21.95
Demarie,Sabbia,2022,Great Value,4.2,25.0
Cantina le Macchie,Scarpe Toste,2021,Amazing Value!,4.2,17.0
Rocche del Gatto,Senza Tempo Spigau,2011,Great Value,4.2,24.52
Weingut Gunderloch,Jean-Baptiste Riesling Kabinett,2022,Great Value,4.2,25.17
Podere Sette,L'Invidio Bolgheri Rosso,2022,Great Value,4.2,24.67
Saxenburg,Private Collection Chardonnay,2022,Great Value,4.2,29.5
Domaine Laguilhon,Jurançon,2021,Great Value,4.2,16.94
Seifried Estate,Winemaker's Collection Sweet Agnes Riesling,2021,No Score,4.2,17.84
Ontañón,Queirón Mi Lugar,2019,Good Value,4.2,24.98
VALENCISO,Rioja Reserva,2018,Good Value,4.2,23.44
San Marzano,F Negroamaro,2021,Great Value,4.2,26.6
Masca del Tacco,Lu Rappaio Primitivo di Manduria,2022,Good Value,4.2,16.79
Familia Torres,San Valentín Parellada,2023,Great Value,4.2,10.48
Emilio Moro,Ribera del Duero,2021,Good Value,4.2,25.84
Piattelli,Malbec Grand Reserve,2021,Good Value,4.2,23.55
Masca del Tacco,Piano Chiuso Riserva Primitivo di Manduria,2021,Good Value,4.2,29.95
Saronsberg,Seismic,2020,Good Value,4.2,17.42
